Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174525.mp4,1433756725.251,1433756734.575,9.324s,13116,13252
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174552.mp4,1433756752.127,1433756752.127,0.000s,13508,13508
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174602.mp4,1433756762.548,1433756771.598,9.050s,13660,13792
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174721.mp4,1433756841.257,1433756856.614,15.358s,14808,15032
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174802.mp4,1433756882.393,1433756884.039,1.645s,15408,15432
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-174828.mp4,1433756908.447,1433756911.463,3.017s,15788,15832
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-175200.mp4,1433757120.439,1433757135.248,14.809s,18880,19096
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-175311.mp4,1433757191.468,1433757192.839,1.371s,19916,19936
Noise,z:\calebroom\20150608\17\173026.mp4,20150608-175512.mp4,1433757312.685,1433757312.685,0.000s,21684,21684
Noise,z:\calebroom\20150608\18\180028.mp4,20150608-181606.mp4,1433758566.359,1433758566.359,0.000s,13664,13664
Noise,z:\calebroom\20150608\18\180028.mp4,20150608-182640.mp4,1433759200.906,1433759200.906,0.000s,22904,22904
Noise,z:\calebroom\20150609\08\083004.mp4,20150609-083313.mp4,1433809993.317,1433809993.317,0.000s,2736,2736
Motion,z:\calebroom\20150609\09\090006.mp4,20150609-091124.mp4,1433812284.515,1433812290.517,6.002s,9948,10036
Motion,z:\calebroom\20150609\09\090006.mp4,20150609-091149.mp4,1433812309.888,1433812314.253,4.365s,10320,10384
Motion,z:\calebroom\20150609\09\090006.mp4,20150609-092203.mp4,1433812923.744,1433812928.109,4.365s,19320,19384
Motion,z:\calebroom\20150609\09\090006.mp4,20150609-092258.mp4,1433812978.309,1433813043.514,65.205s,20120,21076
Noise,z:\calebroom\20150609\09\090006.mp4,20150609-092428.mp4,1433813068.341,1433813069.978,1.637s,21440,21464
Motion,z:\calebroom\20150609\09\090006.mp4,20150609-092448.mp4,1433813088.803,1433813096.988,8.185s,21740,21860
Motion,z:\calebroom\20150609\09\090006.mp4,20150609-092934.mp4,1433813374.723,1433813377.997,3.274s,25932,25980
Noise,z:\calebroom\20150609\09\090006.mp4,20150609-093000.mp4,1433813400.369,1433813402.551,2.183s,26308,26340
Noise,z:\calebroom\20150609\09\093006.mp4,20150609-093006.mp4,1433813406.545,1433813408.454,1.908s,8,36
Motion,z:\calebroom\20150609\09\093006.mp4,20150609-093055.mp4,1433813455.619,1433813459.708,4.089s,728,788
Noise,z:\calebroom\20150609\09\093006.mp4,20150609-093217.mp4,1433813537.680,1433813548.313,10.633s,1932,2088
Noise,z:\calebroom\20150609\09\093006.mp4,20150609-093249.mp4,1433813569.851,1433813569.851,0.000s,2404,2404
Motion,z:\calebroom\20150609\09\093006.mp4,20150609-095428.mp4,1433814868.931,1433814891.014,22.083s,21464,21788
Motion,z:\calebroom\20150609\09\093006.mp4,20150609-095907.mp4,1433815147.286,1433815187.908,40.622s,25548,26144
Noise,z:\calebroom\20150609\10\100008.mp4,20150609-100207.mp4,1433815327.716,1433815328.807,1.091s,1756,1772
Noise,z:\calebroom\20150609\10\100008.mp4,20150609-100237.mp4,1433815357.713,1433815357.713,0.000s,2196,2196
Noise,z:\calebroom\20150609\10\100008.mp4,20150609-100455.mp4,1433815495.155,1433815496.246,1.091s,4212,4228
Motion,z:\calebroom\20150609\10\100008.mp4,20150609-100535.mp4,1433815535.788,1433815540.424,4.636s,4808,4876
Noise,z:\calebroom\20150609\10\100008.mp4,20150609-101203.mp4,1433815923.843,1433815928.479,4.636s,10500,10568
Noise,z:\calebroom\20150609\10\100008.mp4,20150609-101444.mp4,1433816084.737,1433816085.010,0.273s,12860,12864
Noise,z:\calebroom\20150609\10\103009.mp4,20150609-103236.mp4,1433817156.076,1433817156.894,0.819s,2156,2168
Noise,z:\calebroom\20150609\10\103009.mp4,20150609-105549.mp4,1433818549.064,1433818549.337,0.273s,22576,22580
Noise,z:\calebroom\20150609\11\110010.mp4,20150609-111004.mp4,1433819404.682,1433819404.682,0.000s,8700,8700
Motion,z:\calebroom\20150609\11\110010.mp4,20150609-111041.mp4,1433819441.320,1433819446.514,5.195s,9236,9312
Motion,z:\calebroom\20150609\11\110010.mp4,20150609-111451.mp4,1433819691.769,1433819705.167,13.397s,12900,13096
Motion,z:\calebroom\20150609\11\110010.mp4,20150609-111619.mp4,1433819779.536,1433819798.675,19.139s,14184,14464
Noise,z:\calebroom\20150609\11\110010.mp4,20150609-111846.mp4,1433819926.908,1433819928.275,1.367s,16340,16360
Noise,z:\calebroom\20150609\11\110010.mp4,20150609-111940.mp4,1433819980.498,1433819981.044,0.547s,17124,17132
Motion,z:\calebroom\20150609\11\110010.mp4,20150609-112207.mp4,1433820127.869,1433820153.571,25.701s,19280,19656
Motion,z:\calebroom\20150609\11\110010.mp4,20150609-112517.mp4,1433820317.621,1433820325.276,7.656s,22056,22168
Motion,z:\calebroom\20150609\11\110010.mp4,20150609-112824.mp4,1433820504.638,1433820509.012,4.375s,24792,24856
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-113254.mp4,1433820774.708,1433820803.084,28.376s,2400,2816
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-113335.mp4,1433820815.908,1433820875.934,60.026s,3004,3884
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-113449.mp4,1433820889.304,1433821013.176,123.872s,4080,5896
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-113715.mp4,1433821035.277,1433821240.185,204.908s,6220,9224
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-114052.mp4,1433821252.463,1433821475.651,223.189s,9404,12676
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-114450.mp4,1433821490.112,1433821671.282,181.170s,12888,15544
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-114803.mp4,1433821683.833,1433821838.265,154.431s,15728,17992
Motion,z:\calebroom\20150609\11\113011.mp4,20150609-115050.mp4,1433821850.816,1433821942.492,91.677s,18176,19520
Noise,z:\calebroom\20150609\13\130611.mp4,20150609-132410.mp4,1433827450.341,1433827450.341,0.000s,14276,14276
Motion,z:\calebroom\20150609\13\133613.mp4,20150609-134554.mp4,1433828754.514,1433828895.933,141.420s,8520,10592
Noise,z:\calebroom\20150609\13\133613.mp4,20150609-135242.mp4,1433829162.665,1433829163.484,0.819s,14500,14512
Motion,z:\calebroom\20150609\14\140614.mp4,20150609-141011.mp4,1433830211.392,1433830215.212,3.820s,3480,3536
Noise,z:\calebroom\20150609\14\140614.mp4,20150609-141032.mp4,1433830232.130,1433830232.676,0.546s,3784,3792
Noise,z:\calebroom\20150609\14\140614.mp4,20150609-141046.mp4,1433830246.865,1433830248.502,1.637s,4000,4024
Motion,z:\calebroom\20150609\14\140614.mp4,20150609-141106.mp4,1433830266.238,1433830271.695,5.457s,4284,4364
Motion,z:\calebroom\20150609\14\140614.mp4,20150609-141205.mp4,1433830325.723,1433830368.017,42.294s,5156,5776
Noise,z:\calebroom\20150609\14\140614.mp4,20150609-141345.mp4,1433830425.864,1433830430.230,4.366s,6624,6688
Motion,z:\calebroom\20150609\14\140614.mp4,20150609-141409.mp4,1433830449.603,1433830497.082,47.478s,6972,7668
Motion,z:\calebroom\20150609\14\140614.mp4,20150609-141557.mp4,1433830557.658,1433830609.229,51.571s,8556,9312
Noise,z:\calebroom\20150609\14\140614.mp4,20150609-142102.mp4,1433830862.720,1433830862.720,0.000s,13028,13028
Noise,z:\calebroom\20150609\14\140614.mp4,20150609-142938.mp4,1433831378.162,1433831378.162,0.000s,20584,20584
Noise,z:\calebroom\20150609\14\140614.mp4,20150609-143020.mp4,1433831420.456,1433831420.456,0.000s,21204,21204
Noise,z:\calebroom\20150609\14\143615.mp4,20150609-143745.mp4,1433831865.424,1433831865.424,0.000s,1324,1324
Noise,z:\calebroom\20150609\14\143615.mp4,20150609-144109.mp4,1433832069.221,1433832069.221,0.000s,4308,4308
Noise,z:\calebroom\20150609\14\143615.mp4,20150609-144123.mp4,1433832083.427,1433832083.427,0.000s,4516,4516
